date,actual
1979- 9- 1,54.2
1979- 8- 1,54.4
1979- 7- 1,54.7
1979- 6- 1,55.1
1979- 5- 1,55.4
1979- 4- 1,55.1
1979- 3- 1,56.1
1979- 2- 1,55.6
1979- 1- 1,55.7
1978- 12- 1,56
1978- 11- 1,56
1978- 10- 1,56.3
1978- 9- 1,56.2
1978- 8- 1,56
1978- 7- 1,55.6
1978- 6- 1,55.7
1978- 5- 1,55.5
1978- 4- 1,55.2
1978- 3- 1,54.6
1978- 2- 1,54.1
1978- 1- 1,53.8
1977- 12- 1,54.1
1977- 11- 1,54
1977- 10- 1,53.8
1977- 9- 1,53.7
1977- 8- 1,53.6
1977- 7- 1,53.4
1977- 6- 1,53.3
1977- 5- 1,52.9
1977- 4- 1,52.6
1977- 3- 1,52.5
1977- 2- 1,51.7
1977- 1- 1,51.4
1976- 12- 1,51.4
1976- 11- 1,50.9
1976- 10- 1,50.4
1976- 9- 1,50.4
1976- 8- 1,50
1976- 7- 1,49.8
1976- 6- 1,49.3
1976- 5- 1,49.2
1976- 4- 1,48.8
1976- 3- 1,48.6
1976- 2- 1,48.4
1976- 1- 1,47.7
1975- 12- 1,47
1975- 11- 1,46.7
1975- 10- 1,46.5
1975- 9- 1,46.1
1975- 8- 1,45.9
1975- 7- 1,45.8
1975- 6- 1,45.3
1975- 5- 1,45
1975- 4- 1,44.7
1975- 3- 1,44.1
1975- 2- 1,44.2
1975- 1- 1,44.4
1974- 12- 1,44.7
1974- 11- 1,45.5
1974- 10- 1,46.2
1974- 9- 1,46.8
1974- 8- 1,47.7
1974- 7- 1,48.5
1974- 6- 1,49.1
1974- 5- 1,49.6
1974- 4- 1,49.8
1974- 3- 1,50.5
1974- 2- 1,50.6
1974- 1- 1,51
1973- 12- 1,51.2
1973- 11- 1,51.8
1973- 10- 1,52.1
1973- 9- 1,52.2
1973- 8- 1,52.4
1973- 7- 1,52.9
1973- 6- 1,53.2
1973- 5- 1,53.3
1973- 4- 1,53.3
1973- 3- 1,53.6
1973- 2- 1,53.6
1973- 1- 1,53.4
1972- 12- 1,53.1
1972- 11- 1,52.5
1972- 10- 1,52
1972- 9- 1,51.6
1972- 8- 1,51
1972- 7- 1,50.3
1972- 6- 1,50
1972- 5- 1,49.6
1972- 4- 1,49.4
1972- 3- 1,49.1
1972- 2- 1,48.7
1972- 1- 1,48.2
1971- 12- 1,47.7
1971- 11- 1,47.2
1971- 10- 1,47
1971- 9- 1,46.7
1971- 8- 1,46.5
1971- 7- 1,46.4
1971- 6- 1,46.2
1971- 5- 1,46.1
1971- 4- 1,45.7
1971- 3- 1,45.5
1971- 2- 1,45.2
1971- 1- 1,44.7
1970- 12- 1,44.5
1970- 11- 1,43.9
1970- 10- 1,43.9
1970- 9- 1,44
1970- 8- 1,44
1970- 7- 1,43.9
1970- 6- 1,43.7
1970- 5- 1,43.7
1970- 4- 1,43.7
1970- 3- 1,44.1
1970- 2- 1,44.4
1970- 1- 1,44.7
1969- 12- 1,45.2
1969- 11- 1,45.5
1969- 10- 1,45.7
1969- 9- 1,46
1969- 8- 1,45.9
1969- 7- 1,46
1969- 6- 1,46.2
1969- 5- 1,46.4
1969- 4- 1,46.7
1969- 3- 1,46.5
1969- 2- 1,46.3
1969- 1- 1,46.2
1968- 12- 1,46
1968- 11- 1,46
1968- 10- 1,45.9
1968- 9- 1,45.6
1968- 8- 1,45.1
1968- 7- 1,45.3
1968- 6- 1,45.2
1968- 5- 1,45
1968- 4- 1,44.7
1968- 3- 1,44.6
1968- 2- 1,44.4
1968- 1- 1,44.2
1967- 12- 1,44.1
1967- 11- 1,43.7
1967- 10- 1,43.4
1967- 9- 1,43.3
1967- 8- 1,43.1
1967- 7- 1,42.7
1967- 6- 1,42.5
1967- 5- 1,42.1
1967- 4- 1,41.8
1967- 3- 1,41.6
1967- 2- 1,41.4
1967- 1- 1,41.6
1966- 12- 1,41.4
1966- 11- 1,41.4
1966- 10- 1,41.5
1966- 9- 1,41.5
1966- 8- 1,41.6
1966- 7- 1,41.7
1966- 6- 1,41.8
1966- 5- 1,41.8
1966- 4- 1,42
1966- 3- 1,41.9
1966- 2- 1,41.5
1966- 1- 1,41.3
1965- 12- 1,41.1
1965- 11- 1,40.7
1965- 10- 1,40.4
1965- 9- 1,39.9
1965- 8- 1,39.6
1965- 7- 1,39.4
1965- 6- 1,39.2
1965- 5- 1,39.1
1965- 4- 1,38.8
1965- 3- 1,38.7
1965- 2- 1,38.3
1965- 1- 1,38.1
1964- 12- 1,37.8
1964- 11- 1,37.5
1964- 10- 1,37.2
1964- 9- 1,37.1
1964- 8- 1,36.8
1964- 7- 1,36.5
1964- 6- 1,36.2
1964- 5- 1,36
1964- 4- 1,35.7
1964- 3- 1,35.4
1964- 2- 1,35.2
1964- 1- 1,34.9
1963- 12- 1,34.7
1963- 11- 1,34.6
1963- 10- 1,34.4
1963- 9- 1,34.1
1963- 8- 1,33.8
1963- 7- 1,33.7
1963- 6- 1,33.5
1963- 5- 1,33.3
1963- 4- 1,33.1
1963- 3- 1,32.8
1963- 2- 1,32.5
1963- 1- 1,32.2
1962- 12- 1,31.9
1962- 11- 1,31.8
1962- 10- 1,31.5
1962- 9- 1,31.4
1962- 8- 1,31.2
1962- 7- 1,31.1
1962- 6- 1,30.9
1962- 5- 1,30.9
1962- 4- 1,31
1962- 3- 1,30.8
1962- 2- 1,30.6
1962- 1- 1,30.3
1961- 12- 1,30.2
1961- 11- 1,30
1961- 10- 1,29.6
1961- 9- 1,29.2
1961- 8- 1,29.1
1961- 7- 1,28.7
1961- 6- 1,28.6
1961- 5- 1,28.2
1961- 4- 1,27.9
1961- 3- 1,27.6
1961- 2- 1,27.3
1961- 1- 1,27.2
1960- 12- 1,26.9
